,species2,p_to_show_species_phen
0,f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp|sSGB__15078,4.074535135987579
1,f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|sSGB__10068,3.694856138030197
2,f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83|sSGB__15089,3.417817973158609
3,f__unknown|g__unknown|s__unknown|sSGB__15398,-2.027856675989428
4,f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_534|sSGB__4891,-2.027856675989428
5,f__Eubacteriaceae|g__unknown|s__unknown|sSGB__4957,-2.064826460064856
6,f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_508|sSGB__6310,-2.105062165495716
7,f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_302|sSGB__6473,-2.113376768263296
8,f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_sp_A6|sSGB__698,-2.161120222264756
9,f__Ruminococcaceae|g__Faecalibacterium|s__unknown|sSGB__15321,-2.173672027926607
10,f__Clostridiaceae|g__unknown|s__unknown|sSGB__4778,-2.304284515059972
11,f__Ruminococcaceae|g__Faecalibacterium|s__unknown|sSGB__15340,-2.309493850230328
12,f__Clostridiaceae|g__unknown|s__unknown|sSGB__6267,-2.319627964080159
13,f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_341|sSGB__4328,-2.365039881756663
14,f__Clostridiaceae|g__Clostridium|s__Clostridium_sp|sSGB__4893,-2.423113977141474
15,f__unknown|g__unknown|s__unknown|sSGB__14969,-2.4773728955889
16,f__Clostridiaceae|g__Butyricicoccus|s__unknown|sSGB__14992,-2.598703416974709
17,f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_356|sSGB__6347,-2.627787706887865
18,f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_sp_CAG_74|sSGB__15369,-2.635865426874944
19,f__Lachnospiraceae|g__Blautia|s__Blautia_sp_CAG_237|sSGB__4810,-2.669035933771336
20,f__Clostridiaceae|g__unknown|s__unknown|sSGB__4712,-2.812168550398638
21,f__unknown|g__unknown|s__unknown|sSGB__14215,-2.852947203501432
22,f__unknown|g__unknown|s__unknown|sSGB__4782,-3.038209509552537
23,f__Clostridiaceae|g__Clostridium|s__unknown|sSGB__4892,-3.207676152494614
24,f__unknown|g__unknown|s__unknown|sSGB__4665,-3.306836313296816
25,f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_265|sSGB__6174,-3.332143868881409
26,f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus_sp|sSGB__14993,-3.862155083150772
27,f__Clostridiaceae|g__Clostridium|s__unknown|sSGB__6179,-3.91663196090546
28,f__Oxalobacteraceae|g__unknown|s__unknown|sSGB__9391,-4.089049842735153
29,f__Lachnospiraceae|g__Blautia|s__Blautia_sp|sSGB__4828,-4.213017416592539
